# File created on Thu Feb 26 18:02:13 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0.41666667     2.21105e-06     1.2320561e-05   4.4330821e-08   -2.9456414e-10  1.829351e-06    0               4.4330821e-08   2.9456414e-10   2.21105e-06     -1.2320561e-05  3.322373e-07    -5.71198e-08    1.2033068e-08   1.3037271e-07   8.669178e-08    -4.3241511e-08  0               6.8817725e-08   -8.669178e-08   -4.3241511e-08  -1.2033068e-08  1.3037271e-07   -3.322373e-07   -5.71198e-08    5.7527998e-08   -1.6300794e-07  -1.1196661e-09  1.0098297e-09   -3.5485188e-08  -1.3759694e-07  -2.0329276e-09  -1.0931186e-09  1.1930349e-07   0               -2.0329276e-09  1.0931186e-09   -3.5485188e-08  1.3759694e-07   -1.1196661e-09  -1.0098297e-09  5.7527998e-08   1.6300794e-07  
0.41666667     4.0949979e-06   1.9319659e-05   8.0797942e-08   -6.8087932e-10  3.3944981e-06   0               8.0797942e-08   6.8087932e-10   4.0949979e-06   -1.9319659e-05  6.1019947e-07   -1.2373819e-07  2.9882994e-08   2.7686667e-07   1.6024439e-07   -9.3336572e-08  0               1.4681546e-07   -1.6024439e-07  -9.3336572e-08  -2.9882994e-08  2.7686667e-07   -6.1019947e-07  -1.2373819e-07  1.4300896e-07   -3.497863e-07   -2.1779199e-09  2.5114867e-09   -8.8963979e-08  -2.9216741e-07  -5.4869584e-09  -2.835865e-09   2.9899212e-07   0               -5.4869584e-09  2.835865e-09    -8.8963979e-08  2.9216741e-07   -2.1779199e-09  -2.5114867e-09  1.4300896e-07   3.497863e-07   
0.41666667     8.4581102e-06   3.2787616e-05   1.619861e-07    -1.8138764e-09  7.0348643e-06   0               1.619861e-07    1.8138764e-09   8.4581102e-06   -3.2787616e-05  1.2502232e-06   -3.0877144e-07  8.9103428e-08   6.758753e-07    3.3050617e-07   -2.3185026e-07  0               3.6116792e-07   -3.3050617e-07  -2.3185026e-07  -8.9103428e-08  6.758753e-07    -1.2502232e-06  -3.0877144e-07  4.1946335e-07   -8.6666999e-07  -8.4253966e-09  8.4022263e-09   -2.6202815e-07  -7.1455161e-07  -1.4533764e-08  -6.4004168e-09  8.8176076e-07   0               -1.4533764e-08  6.4004168e-09   -2.6202815e-07  7.1455161e-07   -8.4253966e-09  -8.4022263e-09  4.1946335e-07   8.6666999e-07  
0.83333333     7.7492264e-08   1.0771367e-06   1.7219315e-09   -3.6840502e-12  6.3839953e-08   0               1.7219315e-09   3.6840502e-12   7.7492264e-08   -1.0771367e-06  1.2595744e-08   -8.6599295e-10  8.0660436e-11   2.1980534e-09   3.2604673e-09   -6.6132202e-10  0               1.1546638e-09   -3.2604673e-09  -6.6132202e-10  -8.0660436e-11  2.1980534e-09   -1.2595744e-08  -8.6599295e-10  4.4704817e-10   -2.7022154e-09  -1.15375e-11    9.7013544e-12   -2.3906854e-10  -2.3174968e-09  -1.7972301e-11  -1.253536e-11   8.5955134e-10   0               -1.7972301e-11  1.253536e-11    -2.3906854e-10  2.3174968e-09   -1.15375e-11    -9.7013544e-12  4.4704817e-10   2.7022154e-09  
0.83333333     1.0098036e-07   1.3047836e-06   2.2249487e-09   -3.2541772e-12  8.3200603e-08   0               2.2249487e-09   3.2541772e-12   1.0098036e-07   -1.3047836e-06  1.6282147e-08   -1.2026129e-09  1.1959322e-10   3.0289076e-09   4.2120989e-09   -9.2303961e-10  0               1.5905194e-09   -4.2120989e-09  -9.2303961e-10  -1.1959322e-10  3.0289076e-09   -1.6282147e-08  -1.2026129e-09  6.5205146e-10   -3.7265336e-09  -1.3622508e-11  1.0532117e-11   -3.5439387e-10  -3.194407e-09   -1.9685102e-11  -1.2472115e-11  1.2641576e-09   0               -1.9685102e-11  1.2472115e-11   -3.5439387e-10  3.194407e-09    -1.3622508e-11  -1.0532117e-11  6.5205146e-10   3.7265336e-09  
0.83333333     1.339214e-07    1.6013507e-06   2.9225159e-09   -4.8532142e-12  1.1035988e-07   0               2.9225159e-09   4.8532142e-12   1.339214e-07    -1.6013507e-06  2.1423127e-08   -1.7094391e-09  1.8237011e-10   4.2697039e-09   5.5439131e-09   -1.3115934e-09  0               2.2394285e-09   -5.5439131e-09  -1.3115934e-09  -1.8237011e-10  4.2697039e-09   -2.1423127e-08  -1.7094391e-09  9.7674522e-10   -5.2539765e-09  -1.8981866e-11  1.4282014e-11   -5.3979168e-10  -4.505557e-09   -2.9678657e-11  -1.8435831e-11  1.9081859e-09   0               -2.9678657e-11  1.8435831e-11   -5.3979168e-10  4.505557e-09    -1.8981866e-11  -1.4282014e-11  9.7674522e-10   5.2539765e-09  
0.83333333     1.8123013e-07   1.9950299e-06   3.9143e-09      -8.7890434e-12  1.4937658e-07   0               3.9143e-09      8.7890434e-12   1.8123013e-07   -1.9950299e-06  2.876607e-08    -2.496052e-09   2.8514378e-10   6.155012e-09    7.4493105e-09   -1.9089042e-09  0               3.233462e-09    -7.4493105e-09  -1.9089042e-09  -2.8514378e-10  6.155012e-09    -2.876607e-08   -2.496052e-09   1.5081642e-09   -7.5977493e-09  -3.2860515e-11  2.6529928e-11   -8.4588107e-10  -6.4976508e-09  -5.071776e-11   -3.2071643e-11  2.9715603e-09   0               -5.071776e-11   3.2071643e-11   -8.4588107e-10  6.4976508e-09   -3.2860515e-11  -2.6529928e-11  1.5081642e-09   7.5977493e-09  
0.83333333     2.5104731e-07   2.5289141e-06   5.3717721e-09   -1.0037079e-11  2.0698753e-07   0               5.3717721e-09   1.0037079e-11   2.5104731e-07   -2.5289141e-06  3.9530999e-08   -3.739429e-09   4.7471616e-10   9.2646872e-09   1.0236015e-08   -2.8716398e-09  0               4.8067232e-09   -1.0236015e-08  -2.8716398e-09  -4.7471616e-10  9.2646872e-09   -3.9530999e-08  -3.739429e-09   2.4124244e-09   -1.1315044e-08  -3.7329905e-11  2.4899236e-11   -1.3875334e-09  -9.7927485e-09  -6.9243105e-11  -4.0709383e-11  4.7919667e-09   0               -6.9243105e-11  4.0709383e-11   -1.3875334e-09  9.7927485e-09   -3.7329905e-11  -2.4899236e-11  2.4124244e-09   1.1315044e-08  
0.83333333     3.5746774e-07   3.2717666e-06   7.565696e-09    -1.7847527e-11  2.948281e-07    0               7.565696e-09    1.7847527e-11   3.5746774e-07   -3.2717666e-06  5.5856132e-08   -5.8237436e-09  7.8686394e-10   1.4094634e-08   1.4471953e-08   -4.4582175e-09  0               7.3939877e-09   -1.4471953e-08  -4.4582175e-09  -7.8686394e-10  1.4094634e-08   -5.5856132e-08  -5.8237436e-09  4.0226972e-09   -1.7443028e-08  -7.5368527e-11  5.810964e-11    -2.3313742e-09  -1.4899153e-08  -1.2129731e-10  -7.1242474e-11  8.0575188e-09   0               -1.2129731e-10  7.1242474e-11   -2.3313742e-09  1.4899153e-08   -7.5368527e-11  -5.810964e-11   4.0226972e-09   1.7443028e-08  
0.83333333     5.2589139e-07   4.3362042e-06   1.099319e-08    -4.0947104e-11  4.3394104e-07   0               1.099319e-08    4.0947104e-11   5.2589139e-07   -4.3362042e-06  8.1549169e-08   -9.4512828e-09  1.3875982e-09   2.2486816e-08   2.1167578e-08   -7.1950121e-09  0               1.1845543e-08   -2.1167578e-08  -7.1950121e-09  -1.3875982e-09  2.2486816e-08   -8.1549169e-08  -9.4512828e-09  7.0458247e-09   -2.8017704e-08  -1.483841e-10   1.276165e-10    -4.1350037e-09  -2.3782486e-08  -2.5092809e-10  -1.508348e-10   1.4232323e-08   0               -2.5092809e-10  1.508348e-10    -4.1350037e-09  2.3782486e-08   -1.483841e-10   -1.276165e-10   7.0458247e-09   2.8017704e-08  
0.83333333     8.0478084e-07   5.9164428e-06   1.6612159e-08   -7.4224638e-11  6.6454027e-07   0               1.6612159e-08   7.4224638e-11   8.0478084e-07   -5.9164428e-06  1.2383666e-07   -1.6089827e-08  2.6726486e-09   3.8211701e-08   3.218464e-08    -1.2232422e-08  0               1.9932491e-08   -3.218464e-08   -1.2232422e-08  -2.6726486e-09  3.8211701e-08   -1.2383666e-07  -1.6089827e-08  1.3100821e-08   -4.729882e-08   -2.6195638e-10  2.2220409e-10   -7.8689697e-09  -4.0477722e-08  -4.6696789e-10  -2.7301908e-10  2.6682795e-08   0               -4.6696789e-10  2.7301908e-10   -7.8689697e-09  4.0477722e-08   -2.6195638e-10  -2.2220409e-10  1.3100821e-08   4.729882e-08   
0.83333333     1.2932237e-06   8.3681948e-06   2.6361853e-08   -1.2671792e-10  1.0687719e-06   0               2.6361853e-08   1.2671792e-10   1.2932237e-06   -8.3681948e-06  1.9745965e-07   -2.9126093e-08  5.2926807e-09   6.7482817e-08   5.1384899e-08   -2.2140602e-08  0               3.5634333e-08   -5.1384899e-08  -2.2140602e-08  -5.2926807e-09  6.7482817e-08   -1.9745965e-07  -2.9126093e-08  2.6226111e-08   -8.4910752e-08  -4.7538649e-10  4.2387076e-10   -1.5843674e-08  -7.1504616e-08  -8.9978153e-10  -4.990943e-10   5.385999e-08    0               -8.9978153e-10  4.990943e-10    -1.5843674e-08  7.1504616e-08   -4.7538649e-10  -4.2387076e-10  2.6226111e-08   8.4910752e-08  
0.83333333     2.2098968e-06   1.2381622e-05   4.4268492e-08   -2.9016065e-10  1.8288665e-06   0               4.4268492e-08   2.9016065e-10   2.2098968e-06   -1.2381622e-05  3.3487972e-07   -5.7086115e-08  1.1911903e-08   1.3066731e-07   8.7377821e-08   -4.320738e-08   0               6.8780215e-08   -8.7377821e-08  -4.320738e-08   -1.1911903e-08  1.3066731e-07   -3.3487972e-07  -5.7086115e-08  5.7634431e-08   -1.6478895e-07  -1.1235143e-09  1.0145478e-09   -3.5463681e-08  -1.386378e-07   -2.039507e-09   -1.0994148e-09  1.1936313e-07   0               -2.039507e-09   1.0994148e-09   -3.5463681e-08  1.386378e-07    -1.1235143e-09  -1.0145478e-09  5.7634431e-08   1.6478895e-07  
0.83333333     4.0925136e-06   1.942772e-05    8.0642108e-08   -6.6665814e-10  3.3936087e-06   0               8.0642108e-08   6.6665814e-10   4.0925136e-06   -1.942772e-05   6.1574659e-07   -1.2365798e-07  2.9577101e-08   2.7754659e-07   1.6168744e-07   -9.3251412e-08  0               1.4671207e-07   -1.6168744e-07  -9.3251412e-08  -2.9577101e-08  2.7754659e-07   -6.1574659e-07  -1.2365798e-07  1.4330467e-07   -3.5419179e-07  -2.1895938e-09  2.525293e-09    -8.8903781e-08  -2.9468817e-07  -5.505918e-09   -2.8568825e-09  2.9918156e-07   0               -5.505918e-09   2.8568825e-09   -8.8903781e-08  2.9468817e-07   -2.1895938e-09  -2.525293e-09   1.4330467e-07   3.5419179e-07  
